A lakeside cottage with a fishing dock.,Residenza Verde,687517,15,"1, Via Roma, Ischia, Napoli, Campania, 80077, Italia",40.7422119,13.9464038,Napoli,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/1441.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/1378.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/8983.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/14799.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/10870.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/1360.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/6602.jpg
An elegant residence with high ceilings.,Villa delle Rose,195189,5,"Via Toledo, San Ferdinando, Municipalità 1, Napoli, Campania, 80132, Italia",40.8384919,14.2483765,Napoli,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/7665.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/13227.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/7453.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/10269.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/2561.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/835.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/8807.jpg
A rural estate with horse stables.,Casa delle Rose,868903,21,"Piazza del Plebiscito, San Ferdinando, Municipalità 1, Napoli, Campania, Italia",40.835855949999996,14.248565182098474,Napoli,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/8225.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/14478.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/8962.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/4417.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/4248.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/814.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/13897.jpg
A trendy condo with floor-to-ceiling windows.,Dimora del Sole,105810,13,"Via Chiaia, San Ferdinando, Municipalità 1, Napoli, Campania, 80132, Italia",40.8362041,14.2457657,Napoli,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/2608.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/10840.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/7018.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/14108.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/5688.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/4246.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/12915.jpg
A suburban home with a finished basement.,Cottage del Sole,809000,11,"United Colors of Benetton, 4;6;8;10;12;14;16;18;20, Corso Umberto I, Gambardella, Fuori Porta, Torre Annunziata, Napoli, Campania, 80058, Italia",40.7565576,14.4439069,Napoli,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/10426.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/8648.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/4039.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/3560.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/4330.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/1808.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/508.jpg
A historic townhouse with modern upgrades.,Mansion Rossa,914867,3,"Via dei Tribunali, Pendino, Municipalità 2, Napoli, Campania, 80138, Italia",40.8519314,14.2601365,Napoli,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/13631.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/8424.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/4459.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/3983.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/5530.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/14799.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/10569.jpg
A countryside house with a guest house.,Mansion del Parco,924336,21,"Via Partenope, Pizzofalcone, Municipalità 1, Napoli, Campania, 80132, Italia",40.8298444,14.2494485,Napoli,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/11551.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/13227.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/4248.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/10481.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/4417.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/4246.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/11008.jpg
A chic condo with a private balcony.,Tenuta della Luna,187997,6,"Via San Gregorio Armeno, Rione Forcella, Municipalità 4, Napoli, Campania, 80138, Italia",40.8497142,14.2580169,Napoli,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/8958.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/12047.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/9570.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/13504.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/10481.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/14247.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/4390.jpg
A historic townhouse with modern upgrades.,Tenuta della Collina,387132,15,"Via del Corso, Olevano Romano, Roma Capitale, Lazio, 00035, Italia",41.8468543,13.040282,Napoli,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/8059.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/8648.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/8424.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/10438.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/15419.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/7018.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/14222.jpg
A trendy condo with floor-to-ceiling windows.,Tenuta del Mare,660092,13,"Via Duomo, Pendino, Municipalità 2, Napoli, Campania, 80138, Italia",40.8487913,14.2609807,Napoli,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/6218.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/1808.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/11445.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/9813.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/1360.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/5682.jpg,/home/utente/rental_property/lib/House_dataset/socal2/socal_pics/1592.jpg
